ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
256,MAP21,179.0932,179.0932,-16.8541,5,WCS Fiji,179.0932,-16.8541,0
257,MAP26,179.0932,179.0932,-17.1129,3.3,WCS Fiji,179.0932,-17.1129,0
258,MAP28,179.0415,179.0415,-16.8656,4,WCS Fiji,179.0833333,-16.83333333,1
259,MAP30A,179.1206,179.1206,-17.0922,6.2,WCS Fiji,179.1206,-17.0922,0
260,MAP31A,179.1106,179.1106,-17.0728,8,WCS Fiji,179.1106,-17.0728,0
261,MAP32,179.0574,179.0574,-17.0463,8,WCS Fiji,179.0574,-17.0463,0
262,MD1,179.3662,179.3662,-17.3951,7.63,WCS Fiji,179.3662,-17.3951,0
263,MD4,179.3866,179.3866,-17.4045,10,WCS Fiji,179.3866,-17.4045,0
264,MD6,179.4036,179.4036,-17.3865,9.2,WCS Fiji,179.4036,-17.3865,0
265,MM,178.5227,178.5227,-17.3335,12,Marine Ecology Consulting Fiji,178.5227,-17.3335,0
266,MM1,178.5225964,178.5225964,-17.3453951,7.36,WCS Fiji,178.5225964,-17.3453951,0
267,MO1,178.9554,178.9554,-17.0485,12.78,WCS Fiji,178.9554,-17.0485,0
268,MO4,178.99725,178.99725,-16.975417,9.09,WCS Fiji,178.99725,-16.975417,0
269,Moon1,178.52386,178.52386,-17.53041,8.37,WCS Fiji,178.52386,-17.53041,0
270,Moon2,178.51248,178.51248,-17.52593,7.73,WCS Fiji,178.51248,-17.52593,0
271,Moon3,178.51619,178.51619,-17.51915,8.1,WCS Fiji,178.51619,-17.51915,0
272,N19,179.098733,179.098733,-17.1457,8.9,WCS Fiji,179.098733,-17.1457,0
273,N20,179.09155,179.09155,-17.140016,8.92,WCS Fiji,179.09155,-17.140016,0
274,NA02,178.82768,178.82768,-17.72484,2,WCS Fiji,178.82768,-17.72484,0
275,NA03,178.8100433,178.8100433,-17.74018493,3,WCS Fiji,178.8100433,-17.74018493,0
276,NA05,178.85115,178.85115,-17.72,8.6,WCS Fiji,178.85115,-17.72,0
277,NA07,178.84105,178.84105,-17.73409,8,WCS Fiji,178.84105,-17.73409,0
278,NAD001,178.9151571,178.9151571,-17.05482602,8.07,WCS Fiji,178.9151571,-17.05482602,0
279,NAD002,178.910541,178.910541,-17.05102458,3.67,WCS Fiji,178.910541,-17.05102458,0
280,NAD004,178.9373656,178.9373656,-17.03807619,7.5,WCS Fiji,178.9373656,-17.03807619,0
281,NAD005,178.9203162,178.9203162,-17.0347327,2.33,WCS Fiji,178.9203162,-17.0347327,0
282,NAD006,178.9222169,178.9222169,-17.03120279,5,WCS Fiji,178.9222169,-17.03120279,0
283,NAD007,178.7929679,178.7929679,-16.96630678,1.2,WCS Fiji,178.7929679,-16.96630678,0
