"","site","latitude","longitude","long.recenter","depth_avg","tags"
"16","BU01",-17.7509755079299,178.773994445801,178.773994445801,1,"WCS Fiji"
"17","BU01N",-17.752,178.77,178.77,3.7,"WCS Fiji"
"18","BU02",-17.746,178.76,178.76,3,"WCS Fiji"
"19","BU03",-17.734462,178.59043,178.59043,2.33,"WCS Fiji"
"20","BU04",-17.7195829295617,178.741848003119,178.741848003119,2,"WCS Fiji"
"21","BU05",-17.6914557435308,178.736463552341,178.736463552341,1.5,"WCS Fiji"
"22","BU07",-17.630935,178.761011,178.761011,2.62,"WCS Fiji"
"23","BU08",-17.725,178.751,178.751,2.72,"WCS Fiji"
"24","BU09",-17.751,178.778,178.778,2.9,"WCS Fiji"
"25","BU10",-17.61911,178.77931,178.77931,2.6,"WCS Fiji"
"26","BUA01A",-16.8277,178.351275,178.351275,7.57,"WCS Fiji"
"27","BUA01B",-16.821882,178.358538,178.358538,1,"WCS Fiji"
"28","BUA02A",-16.811301,178.173314,178.173314,5,"WCS Fiji"
"29","BUA03A",-16.889472,178.479504,178.479504,0.83,"WCS Fiji"
"30","BUA04",-16.896101,178.47759,178.47759,5.77,"WCS Fiji"
"31","BUA05",-16.946311,178.450133,178.450133,6.67,"WCS Fiji"
"32","BUA06A",-16.954782,178.476185,178.476185,9.33,"WCS Fiji"
"33","BUA07A",-16.83297,178.557182,178.557182,4.17,"WCS Fiji"
"34","BUA08A",-16.8494,178.543537,178.543537,5.47,"WCS Fiji"
"35","BUA09A",-16.803491,178.324957,178.324957,2,"WCS Fiji"
"36","BUA10A",-16.837014,178.273199,178.273199,6.5,"WCS Fiji"
"37","BUA10B",-16.829014,178.275178,178.275178,1.2,"WCS Fiji"
"38","BUA12A",-16.677986,178.483719,178.483719,6.67,"WCS Fiji"
"39","BUA17A",-16.775919,178.407411,178.407411,4.4,"WCS Fiji"
"40","BUA19",-16.826757,178.569836,178.569836,1.5,"WCS Fiji"
"41","BUA20A",-16.856581,178.555602,178.555602,5.47,"WCS Fiji"
"42","BUA22A",-16.81341,178.167516,178.167516,1.2,"WCS Fiji"
"43","BUA24A",-16.838822,178.523042,178.523042,4.88,"WCS Fiji"
"44","BUA25",-16.84262,178.539783,178.539783,4.75,"WCS Fiji"
"45","BUA25A",-16.688053,178.476461,178.476461,8,"WCS Fiji"
"46","Bua29",-16.71312,178.502376,178.502376,5.97,"WCS Fiji"
"47","BUA31A",-16.767019,178.420775,178.420775,7,"WCS Fiji"
"48","BUA39",-16.794912,178.268345,178.268345,3.77,"WCS Fiji"
"49","BUA40",-16.838237,178.30382,178.30382,5.5,"WCS Fiji"
"50","BUA41",-16.837973,178.289428,178.289428,2,"WCS Fiji"
"51","BUA42",-16.798135,178.307337,178.307337,6.67,"WCS Fiji"
"52","BUA43",-16.796831,178.291324,178.291324,1.5,"WCS Fiji"
"53","BUA44",-16.846508,178.324181,178.324181,4.33,"WCS Fiji"
"54","BUA45",-16.830834,178.327748,178.327748,8,"WCS Fiji"
"55","BUA46",-16.833632,178.21648,178.21648,6.67,"WCS Fiji"
"56","BUA47",-16.827814,178.376654,178.376654,8.07,"WCS Fiji"
"57","BuC1",-17.64,178.708,178.708,7.63,"WCS Fiji; Vibrant Oceans"
"58","BuC2",-17.652,178.703,178.703,7.37,"WCS Fiji; Vibrant Oceans"
"59","BuC3",-17.642,178.745,178.745,7.53,"WCS Fiji; Vibrant Oceans"
"60","BuC4",-17.652,178.745,178.745,6.87,"WCS Fiji; Vibrant Oceans"
"61","BuC5",-17.63,178.758,178.758,7.8,"WCS Fiji; Vibrant Oceans"
"62","BuC6",-17.675,178.693,178.693,8.13,"WCS Fiji; Vibrant Oceans"
"63","BuE1",-17.736001,178.74001,178.74001,7.1,"WCS Fiji; Vibrant Oceans"
"64","BuE2",-17.699,178.74,178.74,7.37,"WCS Fiji; Vibrant Oceans"
"65","BuE3",-17.726,178.751,178.751,1.3,"WCS Fiji; Vibrant Oceans"
"66","BuE4",-17.759,178.724,178.724,5.6,"WCS Fiji; Vibrant Oceans"
